City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
punta arenas,-53.15,-70.9167,42.8,93,40,3.44,CL,1619228976
busselton,-33.65,115.3333,71.6,48,31,5.35,AU,1619228977
carnarvon,-24.8667,113.6333,73.4,43,2,8.05,AU,1619228978
hilo,19.7297,-155.09,78.8,65,90,16.11,US,1619228777
puerto narino,-3.7703,-70.3831,75.2,100,40,2.3,CO,1619228980
barrow,71.2906,-156.7887,28.4,69,1,5.12,US,1619228983
cap-aux-meules,47.3821,-61.8597,37.4,81,100,17.27,CA,1619228984
acapulco,16.8634,-99.8901,80.6,83,90,9.22,MX,1619228985
krabi,8.0726,98.9105,84.0,100,20,2.3,TH,1619228747
hermanus,-34.4187,19.2345,55.0,90,95,1.01,ZA,1619228987
yulara,-25.2406,130.9889,69.8,37,0,16.11,AU,1619228989
rikitea,-23.1203,-134.9692,79.03,72,100,16.31,PF,1619228990
souillac,-20.5167,57.5167,78.8,89,40,11.5,MU,1619228991
new norfolk,-42.7826,147.0587,59.0,76,96,1.99,AU,1619228992
skovorodino,53.9833,123.9167,44.62,29,63,13.91,RU,1619228993
butaritari,3.0707,172.7902,81.37,78,100,6.62,KI,1619228994
geraldton,-28.7667,114.6,75.2,43,0,6.91,AU,1619228996
jamestown,42.097,-79.2353,48.2,43,1,12.66,US,1619228997
cherepanovo,54.2222,83.381,35.6,76,46,11.27,RU,1619228998
mandalgovi,45.7625,106.2708,45.48,40,100,29.53,MN,1619228999
borba,-4.3878,-59.5939,74.64,96,85,1.16,BR,1619229002
nikolskoye,59.7035,30.7861,36.0,93,75,4.47,RU,1619229003
muzhi,65.3667,64.6667,35.78,88,23,5.19,RU,1619229004
ponta do sol,32.6667,-17.1,59.0,79,21,5.99,PT,1619229005
ejea de los caballeros,42.1263,-1.1372,53.01,66,100,12.66,ES,1619229007
udachnyy,66.4167,112.4,33.8,99,33,9.86,RU,1619229008
cefalu,38.0386,14.0229,55.0,91,99,1.01,IT,1619229009
rosetown,51.5501,-108.0014,37.4,23,97,3.44,CA,1619229010
mana,5.6592,-53.7767,77.36,90,100,11.45,GF,1619229011
ushuaia,-54.8,-68.3,42.8,93,75,13.8,AR,1619228965
coahuayana,18.7333,-103.6833,73.94,70,18,1.5,MX,1619229013
henties bay,-22.116,14.2845,60.01,92,36,3.0,NA,1619229015
avarua,-21.2078,-159.775,82.4,74,10,19.57,CK,1619228971
leningradskiy,69.3833,178.4167,29.35,85,96,5.66,RU,1619229018
kapaa,22.0752,-159.319,77.0,73,75,17.27,US,1619229023
chunskiy,56.0815,99.6342,38.71,59,100,8.66,RU,1619229024
saint-joseph,-21.3667,55.6167,77.0,73,20,16.11,RE,1619229025
albany,42.6001,-73.9662,48.0,43,2,4.97,US,1619229026
atar,20.5169,-13.0499,77.5,15,0,6.6,MR,1619229027
fairbanks,64.8378,-147.7164,57.99,21,1,5.75,US,1619229001
qaanaaq,77.484,-69.3632,17.8,81,100,5.08,GL,1619229030
port alfred,-33.5906,26.891,64.92,73,0,15.73,ZA,1619229032
port elizabeth,-33.918,25.5701,57.2,94,0,5.75,ZA,1619228743
mahebourg,-20.4081,57.7,78.8,89,40,11.5,MU,1619229036
saskylakh,71.9167,114.0833,33.57,97,100,20.42,RU,1619229037
harper,4.375,-7.7169,80.62,83,84,7.9,LR,1619229038
sao jose da coroa grande,-8.8978,-35.1478,78.33,80,16,7.14,BR,1619229039
bredasdorp,-34.5322,20.0403,44.6,87,94,1.14,ZA,1619229040
hobart,-42.8794,147.3294,60.8,51,75,12.66,AU,1619228743
devrek,41.2192,31.9558,52.86,79,100,3.62,TR,1619229043
green river,41.5286,-109.4662,48.99,20,1,20.71,US,1619229045
poronaysk,49.2167,143.1167,33.53,99,100,4.18,RU,1619229046
praia da vitoria,38.7333,-27.0667,57.99,72,40,33.04,PT,1619229047
kankon,15.0167,74.0167,78.8,94,20,4.61,IN,1619229048
upernavik,72.7868,-56.1549,27.95,86,100,4.99,GL,1619229050
cidreira,-30.1811,-50.2056,70.16,81,1,16.6,BR,1619229051
dunedin,-45.8742,170.5036,55.99,82,100,4.0,NZ,1619229012
hamilton,39.1834,-84.5333,54.0,58,90,3.44,US,1619229057
grand gaube,-20.0064,57.6608,75.99,85,98,5.01,MU,1619229058
thompson,55.7435,-97.8558,24.8,39,20,11.5,CA,1619229059
vaini,-21.2,-175.2,86.0,74,20,6.91,TO,1619229060
provideniya,64.3833,-173.3,39.97,59,13,4.5,RU,1619229061
mataura,-46.1927,168.8643,48.99,87,99,7.0,NZ,1619229062
vardo,70.3705,31.1107,34.75,65,100,13.91,NO,1619229064
east london,-33.0153,27.9116,62.29,75,3,7.09,ZA,1619229065
olafsvik,64.8945,-23.7142,43.48,93,100,11.81,IS,1619229066
yellowknife,62.456,-114.3525,16.0,57,75,9.22,CA,1619229067
half moon bay,37.4636,-122.4286,55.99,87,90,8.05,US,1619229068
guerrero negro,27.9769,-114.0611,59.49,76,1,19.82,MX,1619229069
puri,19.8,85.85,86.0,78,20,5.75,IN,1619229070
lakes entrance,-37.8811,147.981,66.0,47,83,1.99,AU,1619229072
belyy yar,53.6039,91.3903,39.2,38,0,4.47,RU,1619229074
mar del plata,-38.0023,-57.5575,66.2,72,90,6.91,AR,1619229076
matara,5.9485,80.5353,79.18,87,85,5.39,LK,1619229004
angoram,-4.0625,144.0661,82.9,80,100,2.82,PG,1619229078
faya,18.3851,42.4509,62.6,51,0,1.9,SA,1619229079
roebourne,-20.7833,117.1333,86.16,19,0,16.33,AU,1619229080
port hardy,50.6996,-127.4199,51.8,76,90,4.61,CA,1619229081
nanortalik,60.1432,-45.2371,35.4,89,9,4.29,GL,1619229084
sobolevo,54.4299,31.8996,32.05,87,40,5.37,RU,1619229085
san patricio,28.017,-97.5169,75.99,94,90,18.41,US,1619229087
waipawa,-41.4122,175.5153,68.0,60,0,16.11,NZ,1619229088
villa constitucion,-33.2278,-60.3297,66.0,94,100,0.67,AR,1619229090
alamosa,37.4695,-105.87,46.4,36,90,13.8,US,1619229091
georgetown,5.4112,100.3354,78.8,94,40,3.44,MY,1619228848
bambous virieux,-20.3428,57.7575,78.8,89,40,11.5,MU,1619229093
westlock,54.1502,-113.8688,39.2,20,72,12.66,CA,1619229094
saint-pierre,-21.3393,55.4781,77.0,73,20,16.11,RE,1619229095
alenquer,-1.9417,-54.7383,75.2,94,0,2.8,BR,1619229097
galle,6.0367,80.217,81.12,79,82,4.65,LK,1619229012
riyadh,24.6877,46.7219,78.8,14,0,6.91,SA,1619228910
kodinsk,58.6881,99.1844,40.35,69,80,4.0,RU,1619229102
tiksi,71.6872,128.8694,16.84,81,100,14.03,RU,1619229103
bluff,-46.6,168.3333,48.99,87,88,7.0,NZ,1619229104
muros,42.7762,-9.0603,59.0,94,80,7.9,ES,1619229105
hasaki,35.7333,140.8333,66.99,45,75,3.44,JP,1619229106
saint anthony,45.0205,-93.218,46.99,93,90,3.89,US,1619229109
mazabuka,-15.856,27.748,59.07,77,0,4.59,ZM,1619229110
alofi,-19.0595,-169.9187,86.0,70,32,9.22,NU,1619228971
sangar,63.9242,127.4739,27.0,83,100,10.85,RU,1619229113
san cristobal,7.7669,-72.225,84.2,65,20,2.3,VE,1619228959
dingle,10.9995,122.6711,89.6,53,93,8.23,PH,1619229115
moron,-34.6534,-58.6198,64.99,98,100,5.99,AR,1619229116
aripuana,-9.1667,-60.6333,72.9,96,35,0.69,BR,1619229117
phalodi,27.1333,72.3667,76.66,37,0,9.89,IN,1619228837
garrel,52.95,8.0167,39.0,88,100,5.46,DE,1619229120
sulangan,11.1373,123.7228,82.4,73,80,5.14,PH,1619229122
cape town,-33.9258,18.4232,59.0,82,0,9.22,ZA,1619228942
awbari,26.5921,12.7805,77.25,15,9,7.94,LY,1619229125
esperance,-33.8667,121.9,62.6,72,100,12.66,AU,1619229126
victoria,22.2855,114.1577,79.0,81,78,13.29,HK,1619228895
grindavik,63.8424,-22.4338,46.4,93,75,11.5,IS,1619229128
puerto ayora,-0.7393,-90.3518,77.0,95,16,5.99,EC,1619229129
bonavista,48.6499,-53.1147,37.99,80,3,9.22,CA,1619229130
bahia blanca,-38.7196,-62.2724,63.5,68,100,4.27,AR,1619229132
tual,-5.6667,132.75,84.56,72,100,17.67,ID,1619229133
